"ZIP
code [1]",Size of adjusted gross income,Number of returns
,,
,,(1)
15085,"$50,000 under $75,000",610
15085,"$75,000 under $100,000",460
15085,"$100,000 under $200,000",610
15085,"$200,000 or more",100
,,
15086,,180
15086,"$1 under $25,000",60
15086,"$25,000 under $50,000",30
15086,"$50,000 under $75,000",30
15086,"$75,000 under $100,000",** 0
15086,"$100,000 under $200,000",30
15086,"$200,000 or more",30
,,
15089,,"3,160"
15089,"$1 under $25,000",1150
15089,"$25,000 under $50,000",760
15089,"$50,000 under $75,000",510
15089,"$75,000 under $100,000",330
15089,"$100,000 under $200,000",360
15089,"$200,000 or more",50
,,
15090,,"11,390"
15090,"$1 under $25,000",2990
15090,"$25,000 under $50,000",1400
15090,"$50,000 under $75,000",1130
15090,"$75,000 under $100,000",1020
15090,"$100,000 under $200,000",2710
15090,"$200,000 or more",2140
,,
15101,,"13,050"
15101,"$1 under $25,000",3830
15101,"$25,000 under $50,000",2280
15101,"$50,000 under $75,000",1750
15101,"$75,000 under $100,000",1460
15101,"$100,000 under $200,000",2620
15101,"$200,000 or more",1110
,,
15102,,"15,960"
15102,"$1 under $25,000",4850
15102,"$25,000 under $50,000",2990
15102,"$50,000 under $75,000",2240
15102,"$75,000 under $100,000",2030
15102,"$100,000 under $200,000",3110
15102,"$200,000 or more",740
,,
15104,,"3,700"
15104,"$1 under $25,000",2160
15104,"$25,000 under $50,000",1040
15104,"$50,000 under $75,000",300
15104,"$75,000 under $100,000",120
15104,"$100,000 under $200,000",80
15104,"$200,000 or more",** 0
,,
15106,,"10,190"
15106,"$1 under $25,000",3570
15106,"$25,000 under $50,000",2700
15106,"$50,000 under $75,000",1510
15106,"$75,000 under $100,000",1020
15106,"$100,000 under $200,000",1150
15106,"$200,000 or more",240
,,
15108,,"20,920"
15108,"$1 under $25,000",6260
15108,"$25,000 under $50,000",4220
15108,"$50,000 under $75,000",2920
15108,"$75,000 under $100,000",2330
15108,"$100,000 under $200,000",3950
15108,"$200,000 or more",1240
,,
15110,,"2,280"
15110,"$1 under $25,000",1340
15110,"$25,000 under $50,000",610
15110,"$50,000 under $75,000",200
15110,"$75,000 under $100,000",80
15110,"$100,000 under $200,000",50
15110,"$200,000 or more",** 0
,,
15112,,"1,580"
15112,"$1 under $25,000",770
15112,"$25,000 under $50,000",470
15112,"$50,000 under $75,000",190
15112,"$75,000 under $100,000",90
15112,"$100,000 under $200,000",60
15112,"$200,000 or more",** 0
,,
15116,,"7,840"
15116,"$1 under $25,000",2370
15116,"$25,000 under $50,000",1520
15116,"$50,000 under $75,000",1150
15116,"$75,000 under $100,000",1000
15116,"$100,000 under $200,000",1500
15116,"$200,000 or more",300
,,
15120,,"9,410"
15120,"$1 under $25,000",3920
15120,"$25,000 under $50,000",2520
15120,"$50,000 under $75,000",1280
15120,"$75,000 under $100,000",800
15120,"$100,000 under $200,000",800
15120,"$200,000 or more",90
,,
15122,,"10,540"
15122,"$1 under $25,000",4030
15122,"$25,000 under $50,000",2730
15122,"$50,000 under $75,000",1650
15122,"$75,000 under $100,000",1100
15122,"$100,000 under $200,000",950
15122,"$200,000 or more",80
,,
15126,,"3,990"
15126,"$1 under $25,000",1270
15126,"$25,000 under $50,000",880
15126,"$50,000 under $75,000",600
15126,"$75,000 under $100,000",460
15126,"$100,000 under $200,000",680
15126,"$200,000 or more",100
,,
15129,,"5,860"
15129,"$1 under $25,000",1850
15129,"$25,000 under $50,000",1280
15129,"$50,000 under $75,000",850
15129,"$75,000 under $100,000",680
15129,"$100,000 under $200,000",1040
15129,"$200,000 or more",160
,,
15131,,"4,480"
15131,"$1 under $25,000",1510
15131,"$25,000 under $50,000",1180
15131,"$50,000 under $75,000",760
15131,"$75,000 under $100,000",470
15131,"$100,000 under $200,000",500
15131,"$200,000 or more",60
,,
15132,,"8,850"
15132,"$1 under $25,000",4670
15132,"$25,000 under $50,000",2400
15132,"$50,000 under $75,000",960
15132,"$75,000 under $100,000",470
15132,"$100,000 under $200,000",330
15132,"$200,000 or more",20
,,
15133,,"3,330"
15133,"$1 under $25,000",1240
15133,"$25,000 under $50,000",940
15133,"$50,000 under $75,000",570
15133,"$75,000 under $100,000",330
15133,"$100,000 under $200,000",250
15133,"$200,000 or more",** 0
,,
15135,,"2,600"
15135,"$1 under $25,000",900
15135,"$25,000 under $50,000",620
15135,"$50,000 under $75,000",380
15135,"$75,000 under $100,000",270
15135,"$100,000 under $200,000",360
15135,"$200,000 or more",70
,,
15136,,"11,560"
15136,"$1 under $25,000",4800
15136,"$25,000 under $50,000",2790
15136,"$50,000 under $75,000",1410
15136,"$75,000 under $100,000",940
15136,"$100,000 under $200,000",1300
15136,"$200,000 or more",320
,,
15137,,"5,270"
15137,"$1 under $25,000",2110
15137,"$25,000 under $50,000",1510
15137,"$50,000 under $75,000",810
15137,"$75,000 under $100,000",420
15137,"$100,000 under $200,000",390
15137,"$200,000 or more",30
,,
15139,,"3,590"
15139,"$1 under $25,000",1050
15139,"$25,000 under $50,000",770
15139,"$50,000 under $75,000",520
15139,"$75,000 under $100,000",380
15139,"$100,000 under $200,000",620
15139,"$200,000 or more",250
,,
15140,,"1,450"
15140,"$1 under $25,000",770
15140,"$25,000 under $50,000",390
15140,"$50,000 under $75,000",160
15140,"$75,000 under $100,000",70
15140,"$100,000 under $200,000",60
15140,"$200,000 or more",** 0
,,
15142,,"1,110"
15142,"$1 under $25,000",210
15142,"$25,000 under $50,000",160
15142,"$50,000 under $75,000",130
15142,"$75,000 under $100,000",110
15142,"$100,000 under $200,000",190
15142,"$200,000 or more",310
,,
15143,,"10,400"
15143,"$1 under $25,000",2830
15143,"$25,000 under $50,000",1440
15143,"$50,000 under $75,000",1110
15143,"$75,000 under $100,000",910
15143,"$100,000 under $200,000",2140
15143,"$200,000 or more",1970
,,
15144,,"2,230"
15144,"$1 under $25,000",820
15144,"$25,000 under $50,000",630
15144,"$50,000 under $75,000",340
15144,"$75,000 under $100,000",240
15144,"$100,000 under $200,000",200
15144,"$200,000 or more",** 0
,,
15145,,"3,470"
15145,"$1 under $25,000",1610
15145,"$25,000 under $50,000",1040
15145,"$50,000 under $75,000",420
15145,"$75,000 under $100,000",220
15145,"$100,000 under $200,000",150
15145,"$200,000 or more",30
,,
15146,,"15,270"
15146,"$1 under $25,000",4960
15146,"$25,000 under $50,000",3520
15146,"$50,000 under $75,000",2410
15146,"$75,000 under $100,000",1760
15146,"$100,000 under $200,000",2210
15146,"$200,000 or more",410
,,
15147,,"8,870"
15147,"$1 under $25,000",3340
15147,"$25,000 under $50,000",2370
15147,"$50,000 under $75,000",1370
15147,"$75,000 under $100,000",860
15147,"$100,000 under $200,000",810
15147,"$200,000 or more",120
,,
15148,,"1,160"
15148,"$1 under $25,000",610
15148,"$25,000 under $50,000",340
15148,"$50,000 under $75,000",130
15148,"$75,000 under $100,000",50
15148,"$100,000 under $200,000",30
15148,"$200,000 or more",** 0
,,
15201,,"7,310"
15201,"$1 under $25,000",2420
15201,"$25,000 under $50,000",2290
15201,"$50,000 under $75,000",1150
15201,"$75,000 under $100,000",670
15201,"$100,000 under $200,000",620
15201,"$200,000 or more",160
,,
15202,,"10,830"
15202,"$1 under $25,000",3780
15202,"$25,000 under $50,000",3240
15202,"$50,000 under $75,000",1640
15202,"$75,000 under $100,000",950
15202,"$100,000 under $200,000",980
15202,"$200,000 or more",240
,,
15203,,"5,310"
15203,"$1 under $25,000",1610
15203,"$25,000 under $50,000",1570
15203,"$50,000 under $75,000",950
15203,"$75,000 under $100,000",420
15203,"$100,000 under $200,000",560
15203,"$200,000 or more",200
