"ZIP
code [1]",Size of adjusted gross income,Number of returns
,,
,,(1)
15243,"$200,000 or more",780
,,
15301,,"23,780"
15301,"$1 under $25,000",8900
15301,"$25,000 under $50,000",5540
15301,"$50,000 under $75,000",3340
15301,"$75,000 under $100,000",2260
15301,"$100,000 under $200,000",2980
15301,"$200,000 or more",760
,,
15310,,110
15310,"$1 under $25,000",50
15310,"$25,000 under $50,000",40
15310,"$50,000 under $75,000",** 0
15310,"$75,000 under $100,000",20
15310,"$100,000 under $200,000",** 0
15310,"$200,000 or more",** 0
,,
15311,,660
15311,"$1 under $25,000",190
15311,"$25,000 under $50,000",140
15311,"$50,000 under $75,000",100
15311,"$75,000 under $100,000",90
15311,"$100,000 under $200,000",100
15311,"$200,000 or more",40
,,
15312,,"1,730"
15312,"$1 under $25,000",550
15312,"$25,000 under $50,000",380
15312,"$50,000 under $75,000",280
15312,"$75,000 under $100,000",210
15312,"$100,000 under $200,000",250
15312,"$200,000 or more",60
,,
15314,,"1,690"
15314,"$1 under $25,000",660
15314,"$25,000 under $50,000",390
15314,"$50,000 under $75,000",260
15314,"$75,000 under $100,000",190
15314,"$100,000 under $200,000",170
15314,"$200,000 or more",20
,,
15316,,100
15316,"$1 under $25,000",40
15316,"$25,000 under $50,000",20
15316,"$50,000 under $75,000",40
15316,"$75,000 under $100,000",** 0
15316,"$100,000 under $200,000",** 0
15316,"$200,000 or more",** 0
,,
15317,,"20,050"
15317,"$1 under $25,000",5720
15317,"$25,000 under $50,000",3330
15317,"$50,000 under $75,000",2450
15317,"$75,000 under $100,000",2210
15317,"$100,000 under $200,000",4400
15317,"$200,000 or more",1940
,,
15320,,"2,370"
15320,"$1 under $25,000",860
15320,"$25,000 under $50,000",550
15320,"$50,000 under $75,000",350
15320,"$75,000 under $100,000",230
15320,"$100,000 under $200,000",330
15320,"$200,000 or more",50
,,
15321,,940
15321,"$1 under $25,000",290
15321,"$25,000 under $50,000",200
15321,"$50,000 under $75,000",130
15321,"$75,000 under $100,000",130
15321,"$100,000 under $200,000",160
15321,"$200,000 or more",30
,,
15322,,890
15322,"$1 under $25,000",320
15322,"$25,000 under $50,000",210
15322,"$50,000 under $75,000",140
15322,"$75,000 under $100,000",110
15322,"$100,000 under $200,000",110
15322,"$200,000 or more",** 0
,,
15323,,"2,130"
15323,"$1 under $25,000",700
15323,"$25,000 under $50,000",500
15323,"$50,000 under $75,000",370
15323,"$75,000 under $100,000",240
15323,"$100,000 under $200,000",260
15323,"$200,000 or more",60
,,
15327,,590
15327,"$1 under $25,000",220
15327,"$25,000 under $50,000",140
15327,"$50,000 under $75,000",80
15327,"$75,000 under $100,000",70
15327,"$100,000 under $200,000",80
15327,"$200,000 or more",** 0
,,
15329,,780
15329,"$1 under $25,000",260
15329,"$25,000 under $50,000",160
15329,"$50,000 under $75,000",120
15329,"$75,000 under $100,000",90
15329,"$100,000 under $200,000",110
15329,"$200,000 or more",40
,,
15330,,"2,750"
15330,"$1 under $25,000",790
15330,"$25,000 under $50,000",500
15330,"$50,000 under $75,000",390
15330,"$75,000 under $100,000",290
15330,"$100,000 under $200,000",580
15330,"$200,000 or more",200
,,
15332,,"4,270"
15332,"$1 under $25,000",1390
15332,"$25,000 under $50,000",960
15332,"$50,000 under $75,000",650
15332,"$75,000 under $100,000",510
15332,"$100,000 under $200,000",640
15332,"$200,000 or more",120
,,
15333,,930
15333,"$1 under $25,000",310
15333,"$25,000 under $50,000",200
15333,"$50,000 under $75,000",150
15333,"$75,000 under $100,000",120
15333,"$100,000 under $200,000",150
15333,"$200,000 or more",** 0
,,
15337,,310
15337,"$1 under $25,000",110
15337,"$25,000 under $50,000",70
15337,"$50,000 under $75,000",40
15337,"$75,000 under $100,000",30
15337,"$100,000 under $200,000",60
15337,"$200,000 or more",** 0
,,
15338,,720
15338,"$1 under $25,000",260
15338,"$25,000 under $50,000",170
15338,"$50,000 under $75,000",110
15338,"$75,000 under $100,000",70
15338,"$100,000 under $200,000",110
15338,"$200,000 or more",** 0
,,
15340,,750
15340,"$1 under $25,000",240
15340,"$25,000 under $50,000",160
15340,"$50,000 under $75,000",110
15340,"$75,000 under $100,000",90
15340,"$100,000 under $200,000",120
15340,"$200,000 or more",30
,,
15341,,350
15341,"$1 under $25,000",110
15341,"$25,000 under $50,000",80
15341,"$50,000 under $75,000",50
15341,"$75,000 under $100,000",40
15341,"$100,000 under $200,000",70
15341,"$200,000 or more",** 0
,,
15342,,"2,610"
15342,"$1 under $25,000",880
15342,"$25,000 under $50,000",610
15342,"$50,000 under $75,000",410
15342,"$75,000 under $100,000",290
15342,"$100,000 under $200,000",370
15342,"$200,000 or more",50
,,
15344,,750
15344,"$1 under $25,000",250
15344,"$25,000 under $50,000",160
15344,"$50,000 under $75,000",110
15344,"$75,000 under $100,000",90
15344,"$100,000 under $200,000",140
15344,"$200,000 or more",** 0
,,
15345,,750
15345,"$1 under $25,000",270
15345,"$25,000 under $50,000",180
15345,"$50,000 under $75,000",110
15345,"$75,000 under $100,000",80
15345,"$100,000 under $200,000",80
15345,"$200,000 or more",30
,,
15349,,780
15349,"$1 under $25,000",230
15349,"$25,000 under $50,000",190
15349,"$50,000 under $75,000",130
15349,"$75,000 under $100,000",110
15349,"$100,000 under $200,000",120
15349,"$200,000 or more",** 0
,,
15352,,360
15352,"$1 under $25,000",130
15352,"$25,000 under $50,000",80
15352,"$50,000 under $75,000",60
15352,"$75,000 under $100,000",40
15352,"$100,000 under $200,000",50
15352,"$200,000 or more",** 0
,,
15357,,780
15357,"$1 under $25,000",230
15357,"$25,000 under $50,000",190
15357,"$50,000 under $75,000",120
15357,"$75,000 under $100,000",90
15357,"$100,000 under $200,000",150
15357,"$200,000 or more",** 0
,,
15359,,110
15359,"$1 under $25,000",30
15359,"$25,000 under $50,000",50
15359,"$50,000 under $75,000",** 0
15359,"$75,000 under $100,000",30
15359,"$100,000 under $200,000",** 0
15359,"$200,000 or more",** 0
,,
15360,,940
15360,"$1 under $25,000",310
15360,"$25,000 under $50,000",180
15360,"$50,000 under $75,000",120
15360,"$75,000 under $100,000",110
15360,"$100,000 under $200,000",170
15360,"$200,000 or more",50
,,
15362,,320
15362,"$1 under $25,000",100
15362,"$25,000 under $50,000",90
15362,"$50,000 under $75,000",40
15362,"$75,000 under $100,000",30
15362,"$100,000 under $200,000",60
15362,"$200,000 or more",** 0
,,
15363,,440
15363,"$1 under $25,000",160
15363,"$25,000 under $50,000",130
15363,"$50,000 under $75,000",70
15363,"$75,000 under $100,000",50
15363,"$100,000 under $200,000",30
15363,"$200,000 or more",** 0
,,
15364,,320
15364,"$1 under $25,000",110
15364,"$25,000 under $50,000",60
15364,"$50,000 under $75,000",50
15364,"$75,000 under $100,000",30
15364,"$100,000 under $200,000",50
15364,"$200,000 or more",20
,,
15367,,"4,560"
15367,"$1 under $25,000",1380
15367,"$25,000 under $50,000",480
15367,"$50,000 under $75,000",370
15367,"$75,000 under $100,000",310
15367,"$100,000 under $200,000",1030
15367,"$200,000 or more",990
,,
15370,,"5,380"
15370,"$1 under $25,000",1880
15370,"$25,000 under $50,000",1110
15370,"$50,000 under $75,000",790
15370,"$75,000 under $100,000",570
15370,"$100,000 under $200,000",820
15370,"$200,000 or more",210
,,
15376,,830
15376,"$1 under $25,000",270
15376,"$25,000 under $50,000",180
15376,"$50,000 under $75,000",140
15376,"$75,000 under $100,000",110
15376,"$100,000 under $200,000",100
15376,"$200,000 or more",30
,,
15377,,310
15377,"$1 under $25,000",100
15377,"$25,000 under $50,000",70
15377,"$50,000 under $75,000",40
15377,"$75,000 under $100,000",40
15377,"$100,000 under $200,000",60
15377,"$200,000 or more",** 0
,,
15380,,290
15380,"$1 under $25,000",100
15380,"$25,000 under $50,000",70
15380,"$50,000 under $75,000",40
15380,"$75,000 under $100,000",30
15380,"$100,000 under $200,000",50
15380,"$200,000 or more",** 0
,,
15401,,"14,550"
15401,"$1 under $25,000",6340
15401,"$25,000 under $50,000",3410
15401,"$50,000 under $75,000",1960
15401,"$75,000 under $100,000",1190
15401,"$100,000 under $200,000",1340
15401,"$200,000 or more",310
,,
15410,,330
15410,"$1 under $25,000",140
15410,"$25,000 under $50,000",90
15410,"$50,000 under $75,000",40
15410,"$75,000 under $100,000",30
15410,"$100,000 under $200,000",30
15410,"$200,000 or more",** 0
,,
15411,,310
15411,"$1 under $25,000",110
15411,"$25,000 under $50,000",80
15411,"$50,000 under $75,000",50
15411,"$75,000 under $100,000",40
15411,"$100,000 under $200,000",30
15411,"$200,000 or more",** 0
,,
15413,,240
15413,"$1 under $25,000",120
15413,"$25,000 under $50,000",50
15413,"$50,000 under $75,000",40
15413,"$75,000 under $100,000",30
15413,"$100,000 under $200,000",** 0
15413,"$200,000 or more",0
,,
15417,,"3,430"
15417,"$1 under $25,000",1430
15417,"$25,000 under $50,000",790
15417,"$50,000 under $75,000",470
15417,"$75,000 under $100,000",340
15417,"$100,000 under $200,000",350
15417,"$200,000 or more",50
,,
15419,,900
15419,"$1 under $25,000",390
15419,"$25,000 under $50,000",190
15419,"$50,000 under $75,000",130
15419,"$75,000 under $100,000",90
15419,"$100,000 under $200,000",100
15419,"$200,000 or more",** 0
,,
15423,,870
15423,"$1 under $25,000",300
15423,"$25,000 under $50,000",200
15423,"$50,000 under $75,000",100
15423,"$75,000 under $100,000",110
15423,"$100,000 under $200,000",140
15423,"$200,000 or more",20
,,
15424,,"1,090"
15424,"$1 under $25,000",490
15424,"$25,000 under $50,000",270
15424,"$50,000 under $75,000",180
15424,"$75,000 under $100,000",80
15424,"$100,000 under $200,000",70
15424,"$200,000 or more",** 0
,,
15425,,"8,780"
15425,"$1 under $25,000",3760
15425,"$25,000 under $50,000",2090
15425,"$50,000 under $75,000",1320
15425,"$75,000 under $100,000",770
15425,"$100,000 under $200,000",750
15425,"$200,000 or more",90
,,
15427,,510
15427,"$1 under $25,000",180
15427,"$25,000 under $50,000",130
15427,"$50,000 under $75,000",80
15427,"$75,000 under $100,000",60
15427,"$100,000 under $200,000",60
15427,"$200,000 or more",** 0
,,
15428,,830
15428,"$1 under $25,000",310
15428,"$25,000 under $50,000",200
15428,"$50,000 under $75,000",150
15428,"$75,000 under $100,000",80
15428,"$100,000 under $200,000",90
15428,"$200,000 or more",** 0
,,
15429,,100
15429,"$1 under $25,000",40
15429,"$25,000 under $50,000",30
15429,"$50,000 under $75,000",30
15429,"$75,000 under $100,000",** 0
15429,"$100,000 under $200,000",** 0
15429,"$200,000 or more",0
,,
15431,,"2,040"
15431,"$1 under $25,000",830
15431,"$25,000 under $50,000",530
15431,"$50,000 under $75,000",300
15431,"$75,000 under $100,000",210
15431,"$100,000 under $200,000",170
15431,"$200,000 or more",** 0
,,
15433,,320
15433,"$1 under $25,000",130
15433,"$25,000 under $50,000",70
15433,"$50,000 under $75,000",60
15433,"$75,000 under $100,000",30
15433,"$100,000 under $200,000",30
15433,"$200,000 or more",** 0
,,
15436,,"1,220"
15436,"$1 under $25,000",510
15436,"$25,000 under $50,000",310
15436,"$50,000 under $75,000",160
15436,"$75,000 under $100,000",120
15436,"$100,000 under $200,000",120
15436,"$200,000 or more",** 0
,,
15437,,"1,310"
15437,"$1 under $25,000",620
15437,"$25,000 under $50,000",290
15437,"$50,000 under $75,000",150
15437,"$75,000 under $100,000",100
15437,"$100,000 under $200,000",120
15437,"$200,000 or more",30
,,
15438,,"1,020"
15438,"$1 under $25,000",380
15438,"$25,000 under $50,000",240
15438,"$50,000 under $75,000",160
15438,"$75,000 under $100,000",110
15438,"$100,000 under $200,000",130
15438,"$200,000 or more",** 0
,,
15440,,140
15440,"$1 under $25,000",50
15440,"$25,000 under $50,000",40
15440,"$50,000 under $75,000",30
15440,"$75,000 under $100,000",20
15440,"$100,000 under $200,000",** 0
15440,"$200,000 or more",** 0
,,
15442,,"1,030"
15442,"$1 under $25,000",440
15442,"$25,000 under $50,000",260
15442,"$50,000 under $75,000",130
15442,"$75,000 under $100,000",110
15442,"$100,000 under $200,000",90
15442,"$200,000 or more",** 0
,,
15444,,230
15444,"$1 under $25,000",100
15444,"$25,000 under $50,000",60
15444,"$50,000 under $75,000",30
15444,"$75,000 under $100,000",40
15444,"$100,000 under $200,000",** 0
15444,"$200,000 or more",** 0
,,
15445,,"1,480"
15445,"$1 under $25,000",580
15445,"$25,000 under $50,000",340
15445,"$50,000 under $75,000",220
15445,"$75,000 under $100,000",150
15445,"$100,000 under $200,000",160
15445,"$200,000 or more",30
,,
15446,,280
15446,"$1 under $25,000",100
15446,"$25,000 under $50,000",60
15446,"$50,000 under $75,000",60
15446,"$75,000 under $100,000",30
15446,"$100,000 under $200,000",30
15446,"$200,000 or more",** 0
,,
15450,,160
15450,"$1 under $25,000",70
15450,"$25,000 under $50,000",30
15450,"$50,000 under $75,000",30
15450,"$75,000 under $100,000",30
15450,"$100,000 under $200,000",** 0
15450,"$200,000 or more",0
,,
15451,,350
15451,"$1 under $25,000",140
15451,"$25,000 under $50,000",90
15451,"$50,000 under $75,000",50
15451,"$75,000 under $100,000",30
15451,"$100,000 under $200,000",40
15451,"$200,000 or more",** 0
,,
15456,,"1,230"
15456,"$1 under $25,000",550
15456,"$25,000 under $50,000",300
15456,"$50,000 under $75,000",190
15456,"$75,000 under $100,000",90
15456,"$100,000 under $200,000",100
15456,"$200,000 or more",** 0
,,
15458,,"1,050"
15458,"$1 under $25,000",430
15458,"$25,000 under $50,000",270
15458,"$50,000 under $75,000",150
15458,"$75,000 under $100,000",90
15458,"$100,000 under $200,000",110
15458,"$200,000 or more",** 0
,,
15459,,670
15459,"$1 under $25,000",280
15459,"$25,000 under $50,000",150
15459,"$50,000 under $75,000",110
15459,"$75,000 under $100,000",70
15459,"$100,000 under $200,000",60
15459,"$200,000 or more",** 0
,,
15461,,"1,920"
15461,"$1 under $25,000",850
15461,"$25,000 under $50,000",480
15461,"$50,000 under $75,000",250
15461,"$75,000 under $100,000",170
15461,"$100,000 under $200,000",170
15461,"$200,000 or more",** 0
,,
15462,,180
15462,"$1 under $25,000",90
15462,"$25,000 under $50,000",40
15462,"$50,000 under $75,000",30
15462,"$75,000 under $100,000",20
15462,"$100,000 under $200,000",** 0
15462,"$200,000 or more",0
,,
15464,,650
15464,"$1 under $25,000",270
15464,"$25,000 under $50,000",170
15464,"$50,000 under $75,000",90
15464,"$75,000 under $100,000",60
15464,"$100,000 under $200,000",60
15464,"$200,000 or more",** 0
,,
15468,,"1,100"
15468,"$1 under $25,000",480
15468,"$25,000 under $50,000",270
15468,"$50,000 under $75,000",160
15468,"$75,000 under $100,000",100
15468,"$100,000 under $200,000",90
15468,"$200,000 or more",** 0
,,
15469,,950
15469,"$1 under $25,000",420
15469,"$25,000 under $50,000",220
15469,"$50,000 under $75,000",150
15469,"$75,000 under $100,000",90
15469,"$100,000 under $200,000",70
15469,"$200,000 or more",** 0
,,
15470,,340
15470,"$1 under $25,000",120
15470,"$25,000 under $50,000",70
15470,"$50,000 under $75,000",50
15470,"$75,000 under $100,000",40
15470,"$100,000 under $200,000",60
15470,"$200,000 or more",** 0
,,
15473,,"1,900"
15473,"$1 under $25,000",700
15473,"$25,000 under $50,000",430
15473,"$50,000 under $75,000",290
15473,"$75,000 under $100,000",220
15473,"$100,000 under $200,000",230
15473,"$200,000 or more",30
,,
15474,,910
15474,"$1 under $25,000",370
15474,"$25,000 under $50,000",240
15474,"$50,000 under $75,000",130
15474,"$75,000 under $100,000",100
15474,"$100,000 under $200,000",70
15474,"$200,000 or more",** 0
,,
15478,,"2,750"
15478,"$1 under $25,000",1120
15478,"$25,000 under $50,000",630
15478,"$50,000 under $75,000",400
15478,"$75,000 under $100,000",290
15478,"$100,000 under $200,000",270
15478,"$200,000 or more",40
,,
15479,,"1,050"
15479,"$1 under $25,000",400
15479,"$25,000 under $50,000",260
15479,"$50,000 under $75,000",150
15479,"$75,000 under $100,000",110
15479,"$100,000 under $200,000",130
15479,"$200,000 or more",** 0
,,
15480,,890
15480,"$1 under $25,000",340
15480,"$25,000 under $50,000",220
15480,"$50,000 under $75,000",150
15480,"$75,000 under $100,000",80
15480,"$100,000 under $200,000",100
15480,"$200,000 or more",** 0
,,
15486,,"1,090"
15486,"$1 under $25,000",400
15486,"$25,000 under $50,000",270
15486,"$50,000 under $75,000",180
15486,"$75,000 under $100,000",110
15486,"$100,000 under $200,000",130
15486,"$200,000 or more",** 0
,,
15490,,290
15490,"$1 under $25,000",130
15490,"$25,000 under $50,000",60
15490,"$50,000 under $75,000",50
15490,"$75,000 under $100,000",30
15490,"$100,000 under $200,000",20
15490,"$200,000 or more",** 0
,,
15501,,"7,260"
15501,"$1 under $25,000",3010
15501,"$25,000 under $50,000",1690
15501,"$50,000 under $75,000",1060
15501,"$75,000 under $100,000",710
15501,"$100,000 under $200,000",620
15501,"$200,000 or more",170
,,
15521,,810
15521,"$1 under $25,000",340
15521,"$25,000 under $50,000",220
15521,"$50,000 under $75,000",130
15521,"$75,000 under $100,000",60
15521,"$100,000 under $200,000",60
15521,"$200,000 or more",** 0
,,
15522,,"5,630"
15522,"$1 under $25,000",2180
15522,"$25,000 under $50,000",1390
15522,"$50,000 under $75,000",900
15522,"$75,000 under $100,000",510
15522,"$100,000 under $200,000",540
